,train_score,val_score,test_score
0,0.0,0.0,0.0
1,0.7376773794261969,0.6941635621784638,0.6309980357309887
2,0.6363430360711122,0.6140923177295711,0.5612149134032932
3,0.7895242774442995,0.7073563023787351,0.6289419916496402
4,0.8278808129084104,0.76050135501355,0.6893858714944977
5,0.8471455656203919,0.7580658538608277,0.6948209940910671
6,0.882941138684881,0.7920427657523441,0.6981345392877332
7,0.8782311471907711,0.7920155628859005,0.7215156097127101
8,0.8904742807691496,0.8000337069183451,0.7369647016663678
9,0.9096533333333333,0.8171537926235213,0.7367833209233061
10,0.9023520421159887,0.80641925777332,0.744132899709941
11,0.914876792545575,0.8258647128982791,0.7568249391837103
12,0.8875288536879777,0.7786693413574055,0.7009730867011483
13,0.915631601182932,0.8268702814001373,0.7431824442199981
14,0.9159208316503327,0.8150201612903226,0.7366185968326994
15,0.9046777322698857,0.775368139223561,0.6689117675358415
16,0.9256736494880692,0.8350031031119779,0.74753092338671
17,0.9368555602897316,0.8383223111729899,0.7513976891539321
18,0.9271641032159654,0.8068045819798256,0.6914322134207412
19,0.930052919085012,0.8307988113966089,0.7348506134682026
20,0.9236425459568591,0.8212100611828689,0.7443663241391743
21,0.9307862679955703,0.8363951473136915,0.747962962962963
22,0.9317183887321554,0.8262847514743049,0.738255033557047
23,0.9425145100716967,0.8224529297906035,0.7133516535582299
24,0.9320017810571847,0.8409665881531885,0.7555014514467647
25,0.9413645373745124,0.82664089271593,0.7245390070921987
26,0.9386537067826234,0.7972915059569726,0.6839359267734554
27,0.9386041185078362,0.8060632308358596,0.7022674687644609
28,0.9442383963983277,0.8307423580786025,0.7287599925636735
29,0.9484075484543539,0.8115246098439376,0.7072616559120241
30,0.9383837737539191,0.8188662916486369,0.7154277313240834
31,0.9302109312254302,0.7900773086398777,0.6957853025936599
32,0.9445391037655478,0.8096676737160121,0.7066581188753549
33,0.9447390276624289,0.8096938775510203,0.7121810995328781
34,0.9498548992830317,0.8125652627915071,0.7104160848924883
35,0.9452861593615296,0.8115237764665048,0.7210871775908292
36,0.9554517731857634,0.8280701754385965,0.7214603234654309
37,0.9484101647299196,0.8144686742817584,0.7099879663056559
38,0.9500116844766416,0.8499827764381673,0.759146902004045
39,0.9495264101032511,0.8316405577552075,0.7309134131846028
40,0.9520845766902548,0.8129233976029181,0.7090993071593534
41,0.9534030296564968,0.8265547100498557,0.7219457226030613
42,0.9539958776906567,0.8310066764935402,0.7281114493957007
43,0.9510397136526334,0.8145022390630382,0.7094360284723491
44,0.9559871513965411,0.8184910597470563,0.7123030757689423
45,0.955202250543455,0.8346081930987592,0.7555873413195064
46,0.9497648886146514,0.8460599721059971,0.7589867759359286
47,0.9550820370764969,0.8377787494534324,0.7350862312694373
48,0.9532342563883246,0.8160880027500859,0.7147948460202871
49,0.9565718924230449,0.8160890029952932,0.724144176779569
