,train_score,val_score,test_score
0,0.0,0.0,0.0
1,0.832772023469107,0.7765263781861291,0.7335900420882959
2,0.8734897989200092,0.813363476513439,0.7443216968625719
3,0.8956089654731185,0.8223835967535241,0.7524320392762979
4,0.8988460075242,0.8228676964405642,0.7560910782315939
5,0.9118756090327501,0.8334027141786695,0.7758695841687734
6,0.9176684727395868,0.8238337644997079,0.7469265893923428
7,0.9278276023292388,0.8326317561879104,0.7546603056807137
8,0.934969377339231,0.837102533582724,0.7566447427696189
9,0.9336733609605782,0.8392931915249979,0.7651701157488602
10,0.9358284236849913,0.8307461191787683,0.7654734614706401
11,0.9447505584512286,0.8472782258064516,0.793255649717514
12,0.9461854883168652,0.8371085942704863,0.7766736401673641
13,0.9463804123930262,0.8278743315508021,0.7552398491625012
14,0.9552588428203327,0.8447871270533021,0.7664470794905579
15,0.9565217391304348,0.8577717575347104,0.7928814165623322
16,0.9609903433019951,0.8616772469094555,0.7954922687166944
17,0.9524558457843615,0.857596258247724,0.7878204567328725
18,0.9613033755723565,0.8429988233316523,0.7828924162257496
19,0.9598437897953986,0.8469922622514353,0.7861060329067641
20,0.96564349269871,0.851914319446787,0.7775700934579439
21,0.9662940487597148,0.8478406427854034,0.7751951583194457
22,0.9647193926376454,0.8564509394572024,0.7835069596428258
23,0.9662668027905393,0.8483627204030227,0.7870304748405387
24,0.9709577140910446,0.8582517718528518,0.7892488430046278
25,0.9707799122545471,0.8555564902835029,0.786119985800497
26,0.9731515022373748,0.8534786253143336,0.790236192817631
27,0.9701502077341002,0.8518048862963903,0.7843347639484978
28,0.9719988084599345,0.8704975707823758,0.8106581965766719
29,0.9729315301884782,0.8533266129032258,0.7906812566184257
30,0.9743578830889706,0.851138647019424,0.7865762353562935
31,0.9726059470849918,0.8617163928930607,0.7959111737751146
32,0.9722553191489361,0.8558398783886497,0.7889810109654988
33,0.9754053019020468,0.854398128811294,0.7882713347921226
34,0.9754559400034089,0.8589970501474926,0.7987538940809968
35,0.9773990840345085,0.8624936730217648,0.7887399463806971
36,0.9767382413087934,0.8536155202821869,0.7780632586161071
37,0.9778478316435205,0.8710736842105263,0.799750690054314
38,0.9772422455453132,0.8697109342270631,0.808148213188164
39,0.977067052786236,0.8536667226044639,0.7881825375890266
40,0.9789473684210527,0.8639261744966442,0.8040528634361234
41,0.9782293796864349,0.8619789473684211,0.7992538639189909
42,0.9791648913506603,0.8665596213977858,0.7982893799002139
43,0.9811827384123601,0.8751474304970512,0.8029871977240398
44,0.9790451041356105,0.8711088675752987,0.7986160397444996
45,0.9799046321525886,0.8594512708298265,0.7981537369075093
46,0.9803361810008734,0.8573109243697479,0.792512802401554
47,0.9791901850944642,0.86082995951417,0.7930326038410005
48,0.9808110528335678,0.8560669456066946,0.7962327259924302
49,0.9805576873880788,0.8702302908051773,0.8048845234934962
