,epoch,time,train_perplexity,val_loss,val_perplexity
0,1,114.2034945,501.0822063,5.817759788,336.2180096
1,2,114.168045,336.3880453,5.653819358,285.3793529
2,3,114.2198396,256.4044674,5.570148612,262.473103
3,4,114.294132,207.7366703,5.527274437,251.4576127
4,5,114.243968,173.2386397,5.512840631,247.8541903
5,6,114.2188919,146.6300657,5.5181675,249.178
6,7,114.2548685,103.2068878,5.422819084,226.5167932
7,8,114.3031642,105.332671,5.420697025,226.0366207
8,9,114.2987957,105.3785728,5.422064337,226.3458948
9,10,114.2977922,99.69985981,5.41237132,224.1625191
10,11,114.3537507,100.3850603,5.410001594,223.6319442
11,12,114.2856417,100.8083432,5.409016804,223.411822
12,13,114.3078825,101.0804199,5.408575075,223.3131563
13,14,114.3311245,100.4356964,5.407624498,223.100981
14,15,114.3580537,100.5071631,5.407316383,223.0322506
15,16,114.3423793,100.4702502,5.407202134,223.006771
16,17,114.3305092,100.4937264,5.407146233,222.994305
17,18,114.3397992,100.5218328,5.407116153,222.9875975
18,19,114.3600323,100.5474777,5.407101232,222.9842703
19,20,114.3628752,100.5710634,5.407095882,222.9830773
