,epoch,time,train_perplexity,val_loss,val_perplexity
0,1.0,85.8290741443634,634.8745586643727,6.095594078302383,443.89767683873583
1,2.0,85.82065296173096,394.12594968197203,5.887251724799474,360.41340679248935
2,3.0,85.83958745002747,307.2237803853992,5.790943652391434,327.3217566435147
3,4.0,85.95651912689209,256.0123552730911,5.735164274772008,309.56382010843043
4,5.0,85.91316223144531,220.609160541519,5.700546999772389,299.0309260873883
5,6.0,85.80095863342285,194.27911074086484,5.680171897013982,292.99979138317025
6,7.0,85.98701691627502,174.22410306115518,5.671327541271846,290.41982289300887
7,8.0,86.12099528312683,157.90011805147245,5.671175529559453,290.37567903369495
8,9.0,86.03498387336731,135.20227608365806,5.658214847246806,286.6364956324727
9,10.0,85.9355537891388,133.07084336568604,5.658548682928085,286.7322010963322
10,11.0,85.98798680305481,130.572084329443,5.657339513301849,286.3857027577537
11,12.0,86.07916522026062,130.6106760487697,5.657441268364589,286.4148454355878
12,13.0,86.01136684417725,130.16715686902003,5.657438675562541,286.4141028195528
13,14.0,85.7756576538086,130.04784602689318,5.657455454270045,286.4189085183257
14,15.0,85.81755661964417,130.18263923458454,5.657477458318074,286.4252109630845
15,16.0,85.89128828048706,130.06629269895953,5.657504787047704,286.43303870719467
16,17.0,85.99216532707214,130.02583933604484,5.657538731892903,286.4427617973771
17,18.0,85.83530139923096,129.9309564088815,5.657572458187739,286.45242261332595
18,19.0,85.96255254745483,130.0866214871091,5.6576000054677325,286.46031370710494
19,20.0,86.09521245956421,130.04092261099112,5.65762381752332,286.4671349972328
