,epoch,time,train_perplexity,val_loss,val_perplexity
0,1,101.9361415,547.0189523,5.895565572,363.4223194
1,2,101.3599467,372.5494134,5.685131187,294.4564715
2,3,101.3939004,289.8196624,5.572817873,263.1746482
3,4,101.3630922,240.8766233,5.507264947,246.4760792
4,5,101.3884339,206.7880859,5.469432592,237.3254943
5,6,101.4148684,181.1336809,5.450235839,232.8130658
6,7,101.3877904,160.957661,5.44347166,231.2435906
7,8,101.4236884,144.577207,5.445338119,231.6756005
8,9,101.4056737,108.9833535,5.363130535,213.3919329
9,10,101.4524045,110.779349,5.360545707,212.8410637
10,11,101.4596877,111.0912707,5.360403974,212.8108993
11,12,101.46913,106.2173487,5.349260244,210.4525567
12,13,101.4554651,106.9898549,5.346638808,209.9015913
13,14,101.4742093,107.4817864,5.345665314,209.6973529
14,15,101.4102676,107.804133,5.345253464,209.6110067
15,16,101.3771789,107.216821,5.344123373,209.374261
16,17,101.4194047,107.2967269,5.343925879,209.3329148
17,18,101.4207664,107.2654333,5.343753574,209.2968489
18,19,101.4142737,107.2906775,5.343675782,209.280568
19,20,101.4769626,107.3204855,5.343635544,209.272147
