,epoch,time,train_perplexity,val_loss,val_perplexity
0,1.0,86.96672749519348,510.6510735275586,5.826149912441478,339.0507877197221
1,2.0,87.01527523994446,354.4095218524026,5.668029934752221,289.46370990024207
2,3.0,87.01135683059692,288.2729944229189,5.587629505232269,267.1017054700229
3,4.0,86.98678374290466,247.22935763862264,5.539178876315846,254.46896315544112
4,5.0,86.9934446811676,217.60097274882676,5.506575892953312,246.30630236237724
5,6.0,87.05596423149109,195.514366840939,5.4826312158622,240.4786268288606
6,7.0,87.0485622882843,177.6256264921667,5.469076194015204,237.24092690909023
7,8.0,87.02312302589417,163.40910097168833,5.461122335172167,235.36143059751697
8,9.0,87.1255259513855,151.54844200198474,5.457509489620433,234.51264029731013
9,10.0,87.06604671478271,141.6500416676012,5.460186032687917,235.14116423941252
10,11.0,87.1297824382782,125.75795548270467,5.451700491063735,233.15430580952216
11,12.0,87.07842516899109,124.40088892527801,5.450674234652052,232.91515244559983
12,13.0,87.06918334960938,123.27242413558776,5.451213107389562,233.04069789487778
13,14.0,87.12982845306396,121.28511890367785,5.450948032678342,232.97893288571342
14,15.0,87.09254574775696,121.13827959738519,5.450988432940314,232.9883454857705
15,16.0,87.09991788864136,121.03291390109393,5.451013013428333,232.99407252339154
16,17.0,87.08016800880432,121.07074173114853,5.4510329470914956,232.99871699504266
17,18.0,87.03833746910095,121.09479688758223,5.451063661014333,233.00587340955778
18,19.0,87.02629327774048,121.20250767225556,5.451090298446954,233.01208017047685
19,20.0,87.11342573165894,121.26967349327376,5.45112579944087,233.02035247775407
